Nr,Pora,Inercija k=2,Siluetas k=2,Inercija k=3,Siluetas k=3,Inercija k=4,Siluetas k=4,Inercija k=5,Siluetas k=5,Inercija k=6,Siluetas k=6,Inercija k=7,Siluetas k=7,Inercija k=8,Siluetas k=8,Geriausias k,Max siluetas
1,gripForce × broad jump_cm,8523.08,0.5532,5973.27,0.4042,4659.1,0.3605,3769.45,0.3539,3289.74,0.3359,2909.16,0.3362,2582.51,0.3184,2,0.5531761900878532
2,height_cm × gripForce,8789.01,0.5343,6125.23,0.4,4892.07,0.3476,4011.67,0.348,3426.84,0.342,3024.69,0.3277,2690.68,0.3242,2,0.5342552640577253
3,weight_kg × gripForce,8975.12,0.5305,6057.69,0.4279,4956.7,0.3639,4181.39,0.3437,3504.87,0.3445,3116.12,0.3341,2784.1,0.333,2,0.5304664714873655
4,height_cm × weight_kg,9451.58,0.5097,6246.71,0.41,4934.31,0.3598,4212.58,0.3366,3658.31,0.3115,3168.6,0.3248,2836.04,0.3201,2,0.5097311376175893
5,height_cm × broad jump_cm,9671.41,0.5064,6917.03,0.3782,5643.95,0.3245,4536.67,0.3418,3954.69,0.3261,3425.35,0.3174,3066.71,0.3203,2,0.5063808155781316
6,weight_kg × broad jump_cm,10523.15,0.4945,8064.08,0.3694,6360.46,0.3511,5069.73,0.3448,4384.22,0.3275,3873.69,0.3301,3442.81,0.3266,2,0.49451682623356674
7,sit-ups counts × broad jump_cm,10097.95,0.4822,6538.74,0.4127,5203.34,0.3538,4226.98,0.3655,3638.31,0.3403,3197.78,0.3354,2854.63,0.3215,2,0.48218822340013806
8,body fat_% × gripForce,10845.43,0.4782,8255.06,0.3508,6048.3,0.365,4953.25,0.3529,4257.85,0.3457,3769.92,0.3232,3321.19,0.3235,2,0.47816926591622944
9,body fat_% × broad jump_cm,10638.98,0.4655,7259.96,0.3829,5813.87,0.3594,4740.03,0.3485,4038.04,0.3486,3522.96,0.3347,3133.2,0.3248,2,0.46554332857580305
10,gripForce × sit-ups counts,11157.26,0.4649,8032.29,0.3743,5855.16,0.3985,4786.65,0.3698,4134.26,0.3564,3575.06,0.3321,3185.07,0.3337,2,0.46486423820596473
11,diastolic × systolic,10779.99,0.4625,7238.36,0.3888,5806.44,0.3601,4718.2,0.3451,3948.67,0.3499,3441.59,0.3413,3078.0,0.3324,2,0.46253860028723903
12,height_cm × body fat_%,11574.37,0.4461,8687.03,0.3383,6718.92,0.3449,5587.4,0.3273,4722.26,0.3288,4121.73,0.3194,3715.43,0.3217,2,0.44613279153633
13,height_cm × sit-ups counts,12003.27,0.4351,8943.35,0.3521,6701.75,0.3712,5489.18,0.3432,4748.06,0.3351,4170.68,0.3215,3698.83,0.3188,2,0.43506963253242975
14,body fat_% × sit-ups counts,11678.86,0.435,8329.11,0.3656,6455.53,0.3722,5288.39,0.3412,4468.5,0.3458,3938.26,0.3359,3509.05,0.3324,2,0.43495117906713093
15,weight_kg × sit-ups counts,13065.37,0.4196,9700.33,0.3504,7311.7,0.3588,5881.1,0.3631,5131.59,0.3274,4485.53,0.3352,3957.84,0.3271,2,0.4196109149889321
