Nr,Treijetas,Inercija k=2,Siluetas k=2,Inercija k=3,Siluetas k=3,Inercija k=4,Siluetas k=4,Inercija k=5,Siluetas k=5,Inercija k=6,Siluetas k=6,Inercija k=7,Siluetas k=7,Inercija k=8,Siluetas k=8,Geriausias k,Max siluetas
1,height_cm × gripForce × broad jump_cm,14236.33,0.5073,10723.0,0.3458,9022.97,0.2808,7977.5,0.2658,7253.17,0.2513,6705.38,0.2361,6183.06,0.2311,2,0.5073452570639373
2,height_cm × weight_kg × gripForce,14331.8,0.5016,10365.92,0.3709,8764.21,0.2978,7836.92,0.2479,7074.55,0.2521,6585.14,0.2369,6103.98,0.2375,2,0.5015524260418149
3,weight_kg × gripForce × broad jump_cm,14836.3,0.5015,11489.94,0.3462,9768.64,0.3099,8369.19,0.2729,7456.54,0.275,6807.86,0.2619,6324.85,0.2491,2,0.5014998458985559
4,height_cm × weight_kg × broad jump_cm,15756.97,0.477,12183.69,0.3252,10262.69,0.2822,8843.55,0.2715,8052.04,0.2502,7267.78,0.2492,6756.82,0.2436,2,0.47700573683119063
5,body fat_% × gripForce × broad jump_cm,16130.6,0.4702,12395.95,0.3241,10120.62,0.2993,8892.68,0.2744,7969.56,0.2723,7260.87,0.2496,6699.08,0.2506,2,0.4701962018746264
6,gripForce × sit-ups counts × broad jump_cm,16179.3,0.4654,11739.11,0.3599,9403.45,0.3393,8155.39,0.3003,7289.0,0.2714,6563.81,0.269,6111.0,0.2563,2,0.4653956254405596
7,height_cm × body fat_% × gripForce,16748.71,0.4548,13331.48,0.3064,11175.6,0.2757,9659.82,0.2629,8719.87,0.2545,8029.31,0.2386,7461.48,0.2361,2,0.454832245785021
8,weight_kg × body fat_% × gripForce,18000.13,0.4521,13782.48,0.3606,11213.34,0.3052,9398.07,0.2948,8178.77,0.297,7472.09,0.2703,6862.99,0.2578,2,0.4521018939050121
9,height_cm × gripForce × sit-ups counts,17242.85,0.4434,13507.05,0.3172,10899.13,0.3096,9395.08,0.2842,8512.11,0.273,7873.26,0.249,7312.05,0.2403,2,0.4433513864150133
10,weight_kg × gripForce × sit-ups counts,17903.04,0.4387,14403.87,0.3217,11443.94,0.309,9558.27,0.2996,8621.67,0.2925,7927.98,0.2565,7340.2,0.2443,2,0.43871942919524015
11,height_cm × body fat_% × broad jump_cm,17233.24,0.4372,13172.14,0.3134,11129.99,0.2769,9850.41,0.2586,8822.85,0.2533,8083.58,0.2454,7526.74,0.2348,2,0.4371595629101592
12,height_cm × sit-ups counts × broad jump_cm,17257.13,0.4364,12839.02,0.3406,10586.46,0.3149,9217.84,0.2813,8205.35,0.265,7465.86,0.2521,6949.52,0.2385,2,0.4364195681782246
13,weight_kg × body fat_% × broad jump_cm,19165.27,0.4265,14669.13,0.3456,11688.7,0.3141,10268.39,0.2825,9087.62,0.2746,8291.46,0.2588,7657.0,0.2561,2,0.4264526567262854
14,gripForce × sit and bend forward_cm × broad jump_cm,19893.26,0.4263,14491.43,0.3699,11684.42,0.3303,10370.81,0.2818,9284.73,0.2775,8369.18,0.2559,7762.05,0.2504,2,0.42629676252223103
15,weight_kg × sit-ups counts × broad jump_cm,18478.54,0.4261,14613.2,0.3178,11443.45,0.3193,9862.76,0.2974,8843.99,0.2766,8089.83,0.2514,7428.17,0.257,2,0.42610027068827094
